"productkey","productalternatekey","productsubcategorykey","englishproductname","color","safetystocklevel","reorderpoint","size","daystomanufacture","productline","modelname","englishdescription","startdate","enddate","status"
210,"FR-R92B-58",14,"HL Road Frame - Black, 58","Black",500,375,"58",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
211,"FR-R92R-58",14,"HL Road Frame - Red, 58","Red",500,375,"58",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
212,"HL-U509-R",31,"Sport-100 Helmet, Red","Red",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0","00:00.0",NULL
213,"HL-U509-R",31,"Sport-100 Helmet, Red","Red",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0","00:00.0",NULL
214,"HL-U509-R",31,"Sport-100 Helmet, Red","Red",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0",NULL,"Current"
215,"HL-U509",31,"Sport-100 Helmet, Black","Black",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0","00:00.0",NULL
216,"HL-U509",31,"Sport-100 Helmet, Black","Black",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0","00:00.0",NULL
217,"HL-U509",31,"Sport-100 Helmet, Black","Black",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0",NULL,"Current"
218,"SO-B909-M",23,"Mountain Bike Socks, M","White",4,3,"M",0,"M ","Mountain Bike Socks","Combination of natural and synthetic fibers stays dry and provides just the right cushioning.","00:00.0","00:00.0",NULL
219,"SO-B909-L",23,"Mountain Bike Socks, L","White",4,3,"L",0,"M ","Mountain Bike Socks","Combination of natural and synthetic fibers stays dry and provides just the right cushioning.","00:00.0","00:00.0",NULL
220,"HL-U509-B",31,"Sport-100 Helmet, Blue","Blue",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0","00:00.0",NULL
221,"HL-U509-B",31,"Sport-100 Helmet, Blue","Blue",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0","00:00.0",NULL
222,"HL-U509-B",31,"Sport-100 Helmet, Blue","Blue",4,3,NULL,0,"S ","Sport-100","Universal fit, well-vented, lightweight , snap-on visor.","00:00.0",NULL,"Current"
223,"CA-1098",19,"AWC Logo Cap","Multi",4,3,NULL,0,"S ","Cycling Cap","Traditional style with a flip-up brim; one-size fits all.","00:00.0","00:00.0",NULL
224,"CA-1098",19,"AWC Logo Cap","Multi",4,3,NULL,0,"S ","Cycling Cap","Traditional style with a flip-up brim; one-size fits all.","00:00.0","00:00.0",NULL
225,"CA-1098",19,"AWC Logo Cap","Multi",4,3,NULL,0,"S ","Cycling Cap","Traditional style with a flip-up brim; one-size fits all.","00:00.0",NULL,"Current"
226,"LJ-0192-S",21,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0","00:00.0",NULL
227,"LJ-0192-S",21,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0","00:00.0",NULL
228,"LJ-0192-S",21,"Long-Sleeve Logo Jersey, S","Multi",4,3,"S",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0",NULL,"Current"
229,"LJ-0192-M",21,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0","00:00.0",NULL
230,"LJ-0192-M",21,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0","00:00.0",NULL
231,"LJ-0192-M",21,"Long-Sleeve Logo Jersey, M","Multi",4,3,"M",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0",NULL,"Current"
232,"LJ-0192-L",21,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0","00:00.0",NULL
233,"LJ-0192-L",21,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0","00:00.0",NULL
234,"LJ-0192-L",21,"Long-Sleeve Logo Jersey, L","Multi",4,3,"L",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0",NULL,"Current"
235,"LJ-0192-X",21,"Long-Sleeve Logo Jersey, XL","Multi",4,3,"XL",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0","00:00.0",NULL
236,"LJ-0192-X",21,"Long-Sleeve Logo Jersey, XL","Multi",4,3,"XL",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0","00:00.0",NULL
237,"LJ-0192-X",21,"Long-Sleeve Logo Jersey, XL","Multi",4,3,"XL",0,"S ","Long-Sleeve Logo Jersey","Unisex long-sleeve AWC logo microfiber cycling jersey","00:00.0",NULL,"Current"
238,"FR-R92R-62",14,"HL Road Frame - Red, 62","Red",500,375,"62",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
239,"FR-R92R-62",14,"HL Road Frame - Red, 62","Red",500,375,"62",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
240,"FR-R92R-62",14,"HL Road Frame - Red, 62","Red",500,375,"62",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
241,"FR-R92R-44",14,"HL Road Frame - Red, 44","Red",500,375,"44",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
242,"FR-R92R-44",14,"HL Road Frame - Red, 44","Red",500,375,"44",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
243,"FR-R92R-44",14,"HL Road Frame - Red, 44","Red",500,375,"44",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
244,"FR-R92R-48",14,"HL Road Frame - Red, 48","Red",500,375,"48",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
245,"FR-R92R-48",14,"HL Road Frame - Red, 48","Red",500,375,"48",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
246,"FR-R92R-48",14,"HL Road Frame - Red, 48","Red",500,375,"48",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
247,"FR-R92R-52",14,"HL Road Frame - Red, 52","Red",500,375,"52",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
248,"FR-R92R-52",14,"HL Road Frame - Red, 52","Red",500,375,"52",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
249,"FR-R92R-52",14,"HL Road Frame - Red, 52","Red",500,375,"52",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
250,"FR-R92R-56",14,"HL Road Frame - Red, 56","Red",500,375,"56",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
251,"FR-R92R-56",14,"HL Road Frame - Red, 56","Red",500,375,"56",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0","00:00.0",NULL
252,"FR-R92R-56",14,"HL Road Frame - Red, 56","Red",500,375,"56",1,"R ","HL Road Frame","Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.","00:00.0",NULL,"Current"
253,"FR-R38B-58",14,"LL Road Frame - Black, 58","Black",500,375,"58",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
254,"FR-R38B-58",14,"LL Road Frame - Black, 58","Black",500,375,"58",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
255,"FR-R38B-58",14,"LL Road Frame - Black, 58","Black",500,375,"58",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0",NULL,"Current"
256,"FR-R38B-60",14,"LL Road Frame - Black, 60","Black",500,375,"60",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
257,"FR-R38B-60",14,"LL Road Frame - Black, 60","Black",500,375,"60",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
258,"FR-R38B-60",14,"LL Road Frame - Black, 60","Black",500,375,"60",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0",NULL,"Current"
259,"FR-R38B-62",14,"LL Road Frame - Black, 62","Black",500,375,"62",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
260,"FR-R38B-62",14,"LL Road Frame - Black, 62","Black",500,375,"62",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
261,"FR-R38B-62",14,"LL Road Frame - Black, 62","Black",500,375,"62",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0",NULL,"Current"
262,"FR-R38R-44",14,"LL Road Frame - Red, 44","Red",500,375,"44",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
263,"FR-R38R-44",14,"LL Road Frame - Red, 44","Red",500,375,"44",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
264,"FR-R38R-48",14,"LL Road Frame - Red, 48","Red",500,375,"48",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
265,"FR-R38R-48",14,"LL Road Frame - Red, 48","Red",500,375,"48",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
266,"FR-R38R-52",14,"LL Road Frame - Red, 52","Red",500,375,"52",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
267,"FR-R38R-52",14,"LL Road Frame - Red, 52","Red",500,375,"52",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
268,"FR-R38R-58",14,"LL Road Frame - Red, 58","Red",500,375,"58",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
269,"FR-R38R-58",14,"LL Road Frame - Red, 58","Red",500,375,"58",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
270,"FR-R38R-60",14,"LL Road Frame - Red, 60","Red",500,375,"60",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
271,"FR-R38R-60",14,"LL Road Frame - Red, 60","Red",500,375,"60",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
272,"FR-R38R-62",14,"LL Road Frame - Red, 62","Red",500,375,"62",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
273,"FR-R38R-62",14,"LL Road Frame - Red, 62","Red",500,375,"62",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
274,"FR-R72R-44",14,"ML Road Frame - Red, 44","Red",500,375,"44",1,"R ","ML Road Frame","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.","00:00.0","00:00.0",NULL
275,"FR-R72R-48",14,"ML Road Frame - Red, 48","Red",500,375,"48",1,"R ","ML Road Frame","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.","00:00.0","00:00.0",NULL
276,"FR-R72R-52",14,"ML Road Frame - Red, 52","Red",500,375,"52",1,"R ","ML Road Frame","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.","00:00.0","00:00.0",NULL
277,"FR-R72R-58",14,"ML Road Frame - Red, 58","Red",500,375,"58",1,"R ","ML Road Frame","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.","00:00.0","00:00.0",NULL
278,"FR-R72R-60",14,"ML Road Frame - Red, 60","Red",500,375,"60",1,"R ","ML Road Frame","Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.","00:00.0","00:00.0",NULL
279,"FR-R38B-44",14,"LL Road Frame - Black, 44","Black",500,375,"44",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
280,"FR-R38B-44",14,"LL Road Frame - Black, 44","Black",500,375,"44",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
281,"FR-R38B-44",14,"LL Road Frame - Black, 44","Black",500,375,"44",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0",NULL,"Current"
282,"FR-R38B-48",14,"LL Road Frame - Black, 48","Black",500,375,"48",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
283,"FR-R38B-48",14,"LL Road Frame - Black, 48","Black",500,375,"48",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
284,"FR-R38B-48",14,"LL Road Frame - Black, 48","Black",500,375,"48",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0",NULL,"Current"
285,"FR-R38B-52",14,"LL Road Frame - Black, 52","Black",500,375,"52",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
286,"FR-R38B-52",14,"LL Road Frame - Black, 52","Black",500,375,"52",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0","00:00.0",NULL
287,"FR-R38B-52",14,"LL Road Frame - Black, 52","Black",500,375,"52",1,"R ","LL Road Frame","The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.","00:00.0",NULL,"Current"
288,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42","Silver",500,375,"42",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
289,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42","Silver",500,375,"42",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
290,"FR-M94S-42",12,"HL Mountain Frame - Silver, 42","Silver",500,375,"42",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0",NULL,"Current"
291,"FR-M94S-44",12,"HL Mountain Frame - Silver, 44","Silver",500,375,"44",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
292,"FR-M94S-52",12,"HL Mountain Frame - Silver, 48","Silver",500,375,"48",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
293,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46","Silver",500,375,"46",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
294,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46","Silver",500,375,"46",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
295,"FR-M94S-46",12,"HL Mountain Frame - Silver, 46","Silver",500,375,"46",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0",NULL,"Current"
296,"FR-M94B-42",12,"HL Mountain Frame - Black, 42","Black",500,375,"42",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
297,"FR-M94B-42",12,"HL Mountain Frame - Black, 42","Black",500,375,"42",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
298,"FR-M94B-42",12,"HL Mountain Frame - Black, 42","Black",500,375,"42",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0",NULL,"Current"
299,"FR-M94B-44",12,"HL Mountain Frame - Black, 44","Black",500,375,"44",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
300,"FR-M94B-48",12,"HL Mountain Frame - Black, 48","Black",500,375,"48",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
301,"FR-M94B-46",12,"HL Mountain Frame - Black, 46","Black",500,375,"46",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
302,"FR-M94B-46",12,"HL Mountain Frame - Black, 46","Black",500,375,"46",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
303,"FR-M94B-46",12,"HL Mountain Frame - Black, 46","Black",500,375,"46",1,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0",NULL,"Current"
304,"FR-M94B-38",12,"HL Mountain Frame - Black, 38","Black",500,375,"38",2,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
305,"FR-M94B-38",12,"HL Mountain Frame - Black, 38","Black",500,375,"38",2,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
306,"FR-M94B-38",12,"HL Mountain Frame - Black, 38","Black",500,375,"38",2,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0",NULL,"Current"
307,"FR-M94S-38",12,"HL Mountain Frame - Silver, 38","Silver",500,375,"38",2,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
335,"BK-R50B-60",2,"Road-650 Black, 60","Black",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
308,"FR-M94S-38",12,"HL Mountain Frame - Silver, 38","Silver",500,375,"38",2,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0","00:00.0",NULL
309,"FR-M94S-38",12,"HL Mountain Frame - Silver, 38","Silver",500,375,"38",2,"M ","HL Mountain Frame","Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.","00:00.0",NULL,"Current"
310,"BK-R93R-62",2,"Road-150 Red, 62","Red",100,75,"62",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL
311,"BK-R93R-44",2,"Road-150 Red, 44","Red",100,75,"44",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL
312,"BK-R93R-48",2,"Road-150 Red, 48","Red",100,75,"48",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL
313,"BK-R93R-52",2,"Road-150 Red, 52","Red",100,75,"52",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL
314,"BK-R93R-56",2,"Road-150 Red, 56","Red",100,75,"56",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL
315,"BK-R68R-58",2,"Road-450 Red, 58","Red",100,75,"58",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL
316,"BK-R68R-60",2,"Road-450 Red, 60","Red",100,75,"60",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL
317,"BK-R68R-44",2,"Road-450 Red, 44","Red",100,75,"44",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL
318,"BK-R68R-48",2,"Road-450 Red, 48","Red",100,75,"48",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL
319,"BK-R68R-52",2,"Road-450 Red, 52","Red",100,75,"52",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL
320,"BK-R50R-58",2,"Road-650 Red, 58","Red",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
321,"BK-R50R-58",2,"Road-650 Red, 58","Red",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
322,"BK-R50R-60",2,"Road-650 Red, 60","Red",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
323,"BK-R50R-60",2,"Road-650 Red, 60","Red",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL
